participant,min_train_loss,min_train_mae,min_train_loss_epoch,min_train_mae_epoch,end_epoch,init_src_content_0,trained_src_content_0,init_att_src_edge_0,trained_att_src_edge_0,init_src_edge_0,trained_src_edge_0,init_full_src_edge_0,trained_full_src_edge_0,init_dst_content_0,trained_dst_content_0,init_att_dst_edge_0,trained_att_dst_edge_0,init_dst_edge_0,trained_dst_edge_0,init_full_dst_edge_0,trained_full_dst_edge_0,init_att_edge_0,trained_att_edge_0,init_edge_0,trained_edge_0,init_full_edge_0,trained_full_edge_0,init_bias_0,trained_bias_0
87,0.022814182564616203,0.1437917947769165,219.0,42.0,234.0,-0.08786588907241821,0.9944716095924377,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.6367379426956177,0.6367379426956177,0.6367379426956177,0.6367379426956177,,
88,0.7477903962135315,0.7254146337509155,162.0,15.0,210.0,-1.2565776109695435,-1.6683263778686523,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.4661494493484497,-1.4661494493484497,-1.4661494493484497,-1.4661494493484497,,
89,0.7731133103370667,0.7579526901245117,173.0,47.0,260.0,-1.7312403917312622,0.7905871272087097,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.656172513961792,-5.349331855773926,0.656172513961792,-5.349331855773926,,
90,0.1718263328075409,0.2764737904071808,207.0,1.0,247.0,0.8566833734512329,0.9852007627487183,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.8042284250259399,-5.200909614562988,0.8042284250259399,-5.200909614562988,,
91,0.9735837578773499,0.789564311504364,164.0,37.0,265.0,1.221160650253296,0.9905725717544556,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.3283286690711975,16.7684383392334,0.3283286690711975,16.7684383392334,,
92,0.22149816155433655,0.37727952003479004,215.0,14.0,263.0,0.3704897463321686,0.9600268602371216,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.5405468940734863,-0.5405468940734863,-0.5405468940734863,-0.5405468940734863,,
93,0.7009112238883972,0.7766687273979187,134.0,0.0,210.0,1.1804356575012207,0.7768217325210571,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.971368670463562,-5.034129619598389,0.971368670463562,-5.034129619598389,,
94,1.7302380800247192,1.1931912899017334,159.0,3.0,220.0,0.7786228060722351,0.5187590718269348,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.721845269203186,-0.721845269203186,-0.721845269203186,-0.721845269203186,,
95,1.012508511543274,0.7441495656967163,200.0,14.0,233.0,1.5683766603469849,0.8390633463859558,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.5307652950286865,-1.5307652950286865,-1.5307652950286865,-1.5307652950286865,,
96,0.48408547043800354,0.6957625150680542,0.0,0.0,199.0,1.2967294454574585,1.2967294454574585,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.6533068418502808,1.6533068418502808,1.6533068418502808,1.6533068418502808,,
97,,,,,,-1.072131872177124,-1.072131872177124,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.8687868118286133,0.8687868118286133,0.8687868118286133,0.8687868118286133,,
98,0.1541319489479065,0.2696266174316406,269.0,9.0,286.0,-1.400160789489746,0.9832159280776978,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.35100701451301575,-2.8960695266723633,0.35100701451301575,-2.8960695266723633,,
99,0.33567988872528076,0.49615001678466797,173.0,48.0,255.0,-0.7520965933799744,-3.5474226474761963,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.40459510684013367,-0.40459510684013367,-0.40459510684013367,-0.40459510684013367,,
100,1.045735478401184,0.8721760511398315,169.0,47.0,301.0,-0.6446224451065063,0.5174828767776489,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.6097522974014282,28.033891677856445,0.6097522974014282,28.033891677856445,,
101,0.12596182525157928,0.29122987389564514,166.0,29.0,224.0,-0.2730144262313843,0.9513896107673645,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.7415836453437805,-0.7415836453437805,-0.7415836453437805,-0.7415836453437805,,
102,0.29501986503601074,0.44180455803871155,136.0,33.0,254.0,1.4276231527328491,-1.8785040378570557,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.3758087158203125,-5.66121768951416,1.3758087158203125,-5.66121768951416,,
103,0.7531375288963318,0.7628856897354126,144.0,0.0,221.0,0.09721782803535461,0.272674024105072,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.3711590766906738,-1.3711590766906738,-1.3711590766906738,-1.3711590766906738,,
104,0.7629302144050598,0.6833518147468567,180.0,101.0,222.0,0.21756288409233093,-2.0449814796447754,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.3676894903182983,-7.824097633361816,1.3676894903182983,-7.824097633361816,,
105,0.0051235924474895,0.05297046899795532,300.0,61.0,300.0,0.1658153235912323,0.9997772574424744,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.1365201473236084,0.2939850986003876,1.1365201473236084,0.2939850986003876,,
106,0.22927884757518768,0.39582952857017517,86.0,16.0,231.0,-0.41582104563713074,0.872185468673706,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.3252815008163452,-6.960198879241943,1.3252815008163452,-6.960198879241943,,
107,0.5227518081665039,0.6254918575286865,71.0,81.0,224.0,0.6660842299461365,-0.115733303129673,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.099080204963684,-1.099080204963684,-1.099080204963684,-1.099080204963684,,
108,0.8152217864990234,0.5724610090255737,130.0,5.0,271.0,1.528097152709961,0.9240926504135132,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.519714593887329,-1.519714593887329,-1.519714593887329,-1.519714593887329,,
109,0.18213455379009247,0.3516909182071686,148.0,24.0,250.0,-0.38243213295936584,0.9696229696273804,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.045559048652649,-1.7168163061141968,1.045559048652649,-1.7168163061141968,,
110,0.0226416178047657,0.13730299472808838,201.0,10.0,259.0,-1.4947549104690552,0.9793899655342102,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.0851056575775146,1.0851056575775146,1.0851056575775146,1.0851056575775146,,
